"spp","den","occ","month","year"
"act_hyp",1.9100825413292,3,7,2014
"alc_ath",0.152826510721248,2,7,2014
"ana_pla",2.3604699906448,65,7,2014
"ana_que",0.120854266119114,2,7,2014
"ana_str",1.22421094460074,20,7,2014
"ans_ans",1.33585186263437,18,7,2014
"ard_cin",0.558732449123555,63,7,2014
"ayt_fer",1.34637056564242,23,7,2014
"ayt_ful",1.02883763589244,31,7,2014
"buc_cla",0.129746626999374,2,7,2014
"cha_dub",0.135843691173767,2,7,2014
"cic_cic",0.142824921721594,2,7,2014
"cic_nig",0.429184549356223,1,7,2014
"cir_aer",0.110706821633073,4,7,2014
"cyg_olo",0.374218221737257,31,7,2014
"cas_alb",0.990197675237915,17,7,2014
"ful_atr",0.980693217264591,22,7,2014
"gal_chl",0.0839293934959014,2,7,2014
"hal_alb",0.0806403023811416,4,7,2014
"lar_cac",0.0315789473684211,1,7,2014
"lar_rid",1.9658558749886,27,7,2014
"net_ruf",0.234457170822243,7,7,2014
"nyc_nyc",0.141542816702052,1,7,2014
"pha_car",0.277720047141535,17,7,2014
"phi_pug",1.05789473684211,2,7,2014
"pod_cri",0.373975945028243,27,7,2014
"pod_nig",0.0294117647058824,1,7,2014
"ste_hir",0.189990175585773,17,7,2014
"tac_ruf",0.597469290487652,10,7,2014
"tri_och",0.630457011465022,3,7,2014
"van_van",0.360769192625145,4,7,2014
