"spp","den","occ","month","year"
"ana_cly",0.0740740740740741,1,5,2016
"ana_cre",0.592592592592593,1,5,2016
"ana_pla",1.64401690323106,88,5,2016
"ana_que",0.166838452552738,2,5,2016
"ana_str",0.921089512363414,65,5,2016
"ans_ans",0.365249337031003,19,5,2016
"ard_cin",0.359828248318266,44,5,2016
"ayt_fer",1.32990882991259,44,5,2016
"ayt_ful",0.819917737573479,39,5,2016
"buc_cla",0.202778641379541,12,5,2016
"cic_nig",0.666666666666667,1,5,2016
"cir_aer",0.250135118149824,3,5,2016
"cyg_olo",0.215189199605028,47,5,2016
"cas_alb",0.554072467062802,4,5,2016
"ful_atr",0.814229993871171,26,5,2016
"gal_chl",0.133868808567604,1,5,2016
"hal_alb",0.038937047069438,2,5,2016
"lar_cac",0.0766778523489933,4,5,2016
"lar_rid",2.25669290630288,14,5,2016
"net_ruf",0.249373387308288,15,5,2016
"nyc_nyc",0.0716818667162995,2,5,2016
"pha_car",0.0797941963866887,6,5,2016
"phi_pug",0.037037037037037,1,5,2016
"pod_cri",0.352127027918109,27,5,2016
"ste_hir",0.142787439229703,15,5,2016
"tac_ruf",0.339973435515144,9,5,2016
"tad_tad",0.117647058823529,1,5,2016
"tri_gla",0.037037037037037,1,5,2016
"tri_och",0.392156862745098,1,5,2016
"van_van",0.178967515191439,6,5,2016
