"spp","den","occ","month","year"
"act_hyp",0.286241771901574,3,7,2016
"ana_cre",0.178571428571429,1,7,2016
"ana_pla",2.03859807078702,39,7,2016
"ana_str",1.14679617763335,27,7,2016
"ans_ans",2.06937641948871,22,7,2016
"ard_cin",0.626925702154225,46,7,2016
"ayt_fer",1.26340583637628,23,7,2016
"ayt_ful",1.75215631704423,33,7,2016
"buc_cla",0.238442370473186,6,7,2016
"cha_dub",3.33333333333333,1,7,2016
"cic_nig",0.72463768115942,1,7,2016
"cir_aer",0.121390612956878,3,7,2016
"cyg_olo",0.211681998697974,25,7,2016
"cas_alb",0.22877883788378,7,7,2016
"ful_atr",1.60929402242111,25,7,2016
"gal_chl",1.33735545500251,2,7,2016
"hal_alb",0.0490967026254152,3,7,2016
"lar_cac",0.0526315789473684,1,7,2016
"lar_rid",0.952962058955345,23,7,2016
"net_ruf",0.801035874108731,7,7,2016
"nyc_nyc",0.19377146570129,3,7,2016
"pha_car",0.186500667241065,14,7,2016
"pod_cri",0.357338034972774,35,7,2016
"pod_nig",0.0529397818871503,2,7,2016
"ste_hir",0.238585936425085,11,7,2016
"tac_ruf",0.363556411978313,13,7,2016
"tri_gla",0.07380174291939,2,7,2016
"van_van",0.148148148148148,1,7,2016
