"spp","den","occ","month","year"
"ana_cly",0.09359197907585,2,5,2012
"ana_pla",1.72989031958488,95,5,2012
"ana_que",0.105702476670219,2,5,2012
"ana_str",0.817700320234788,59,5,2012
"ans_ans",0.785138751918705,22,5,2012
"ard_cin",0.353263222081018,42,5,2012
"ayt_fer",1.57082650904999,50,5,2012
"ayt_ful",1.77452844664545,46,5,2012
"buc_cla",0.371834615318372,19,5,2012
"cha_dub",0.174443993055714,2,5,2012
"chl_nig",0.0324687441686882,2,5,2012
"cic_cic",0.194174757281553,1,5,2012
"cic_nig",0.4,1,5,2012
"cir_aer",0.258674700963789,10,5,2012
"cyg_olo",0.310454900432909,36,5,2012
"cas_alb",0.142418978010461,8,5,2012
"ful_atr",0.7823018891089,36,5,2012
"gal_chl",0.0147058823529412,1,5,2012
"hal_alb",0.0755732684571636,2,5,2012
"lar_cac",0.0905873899766481,2,5,2012
"lar_min",0.111111111111111,1,5,2012
"lar_rid",0.836008304041227,30,5,2012
"net_ruf",0.393213181086207,22,5,2012
"nyc_nyc",0.0716177636503246,3,5,2012
"pha_car",0.161539688569679,11,5,2012
"phi_pug",0.853262502477162,2,5,2012
"pod_cri",0.340602098681278,37,5,2012
"pod_nig",0.0315789473684211,1,5,2012
"ste_hir",0.171767010406336,18,5,2012
"tac_ruf",0.286804229637327,10,5,2012
"tad_tad",0.087037037037037,2,5,2012
"tri_gla",0.373283776509583,4,5,2012
"tri_och",0.142045454545455,1,5,2012
"tri_tot",0.037037037037037,1,5,2012
"van_van",0.461580070012145,3,5,2012
